,item_description,price,date_listed,description_upper,matched_description,score
0,"36"" Thermador gas cooktop",$250,Mar 21,    THERMADOR GAS COOKTOP, GAS APPLIANCE    ,86
1,Standing fan,$20,Mar 21,STANDING FAN, BOX FAN    ,86
2,Samsung Gas Dryer,$200,Mar 22,SAMSUNG GAS DRYER, FUTON DRYER    ,86
4,Talking Microwave - Hamilton Beach 0.9 cu ft - Stainless,$50,Apr  5,TALKING MICROWAVE   HAMILTON BEACH     CU FT   STAINLESS, MICROWAVE OVEN    ,86
5,Mr Coffee COFFEE MAKER,$30,Apr  5,MR COFFEE COFFEE MAKER, COFFEE GRINDER    ,86
6,Like New Whirlpool Stainless Refrigerator,$499,Apr  9,LIKE NEW WHIRLPOOL STAINLESS REFRIGERATOR, REFRIGERATOR     ,90
9,25' Walk in Cooler 9 Doors,$4000,Mar 12,    WALK IN COOLER   DOORS, COOLER     ,90
10,Viking Refrigerator/Freezer 42inch,$2995,Mar 14,VIKING REFRIGERATOR FREEZER   INCH, FREEZER     ,90
12,Sub Zero 424 Wine Cooler.,$1995,Mar 14,SUB ZERO     WINE COOLER , COOLER     ,90
14,"Whirlpool refrigerator, cooktop and dishwasher",$350,Mar  4,WHIRLPOOL REFRIGERATOR  COOKTOP AND DISHWASHER, DISHWASHER     ,90
15,"Instant pot duo nova 7, ninja blender, kitchen set, doll house...",$0,Mar  8,INSTANT POT DUO NOVA    NINJA BLENDER  KITCHEN SET  DOLL HOUSE   , KARAOKE SET    ,86
17,"Wolf 36""  Vent-hood 900 cfm",$900,Apr  7,WOLF      VENT HOOD     CFM, EXHAUST HOOD    ,86
18,GREAT DEAL: Vinotemp Dual Zone Wine Cooler 140 Bottles VT-140TS Black,$799,Mar 17,GREAT DEAL  VINOTEMP DUAL ZONE WINE COOLER     BOTTLES VT    TS BLACK, EVAPORATIVE COOLER    ,86
20,Commercial Deep Fryer,$400,Apr 10,COMMERCIAL DEEP FRYER, DEEP FRYER    ,90
21,BLACK+DECKER Electric Garden Cultivator,$55,Apr 12,BLACK DECKER ELECTRIC GARDEN CULTIVATOR, ELECTRIC COOKER    ,86
